Building Name,Path,Certification date,City,State,Country,Rating system,Version,Certification level (name),Certification level (numeric)
PNC Bank Branch - Wootton Parkway,http://www.usgbc.org/projects/pnc-bank-branch-wootton-parkway,01/16/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Retail - New Construction,v1.0 pilot,Silver,3
Walter Reed National Military Medical Cr,http://www.usgbc.org/projects/walter-reed-national-military-medical-cr,01/21/2011 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Glenmont Station Parking Structure,http://www.usgbc.org/projects/glenmont-station-parking-structure,12/03/2012 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
GSA - CDER Storage Facility,http://www.usgbc.org/projects/gsa-cder-storage-facility,01/18/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2.0,Silver,3
Takoma Park Auditorium,http://www.usgbc.org/projects/takoma-park-auditorium,03/08/2011 12:00:00 AM,Takoma Park,Maryland [MD],United States [us],Commercial Interiors,v2.0,Silver,3
Olney Town Center,http://www.usgbc.org/projects/olney-town-center,06/27/2012 12:00:00 AM,Olney,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
AC Moore,http://www.usgbc.org/projects/ac-moore,06/25/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Retail - Commercial Interiors,v2009,Certified,4
EDGE Professional Services HQ,http://www.usgbc.org/projects/edge-professional-services-hq,04/24/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2009,Gold,2
Germantown-East Fire Station #34,http://www.usgbc.org/projects/germantown-east-fire-station-34,02/21/2012 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
Cannon Road Elementary School,http://www.usgbc.org/projects/cannon-road-elementary-school,09/25/2012 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
801 Thompson Avenue,http://www.usgbc.org/projects/801-thompson-avenue,07/27/2011 12:00:00 AM,Rockville,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Montrose Metro I,http://www.usgbc.org/projects/montrose-metro-i,09/20/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Existing Buildings,v2009,Silver,3
National Intrepid Center of Excellence,http://www.usgbc.org/projects/national-intrepid-center-excellence,11/10/2010 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
ICF Maryland: 530 Gaither Road,http://www.usgbc.org/projects/icf-maryland-530-gaither-road,09/17/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2009,Platinum,1
Safeway 2797,http://www.usgbc.org/projects/safeway-2797,08/28/2012 12:00:00 AM,Olney,Maryland [MD],United States [us],Retail - New Construction,v2009,Gold,2
Safeway 2848,http://www.usgbc.org/projects/safeway-2848,08/30/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Retail - New Construction,v2009,Gold,2
Silver Spring Plaza,http://www.usgbc.org/projects/silver-spring-plaza,07/21/2010 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2008,Certified,4
Century Plaza,http://www.usgbc.org/projects/century-plaza-0,07/29/2011 12:00:00 AM,Germantown,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
Monument Corporate Center 1,http://www.usgbc.org/projects/monument-corporate-center-1,01/08/2008 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],Core and Shell,v1.0 pilot,Silver,3
